Plant code;Latijnse naam;Nederlandse naam;Oorsprong;Familie;Groep;Bloemkleur;Bloemkleurdetail;Bladkleur;Bloeimaand;Hoogte;Hoogtedetail;Habitat - licht;Habitat - grondsoort;Habitat - pH;Habitat - vochtigheid;Bijenvriendelijkheid;Bijenvriendelijkheidsdetail;Referenties;Foto's;Cultivars
PL0163;Cerinthe major;;;Boraginaceae;;;;;;;;;;;;nectar- en pollenleverancier;51-100 kg/ha nectar en 26-50 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0164;Chaenomeles japonica;Japanse kwee;;Rosaceae;;oranje,rood;oranjerood;;4,5;;1,5-2,25 m;zon;;kalk;gemiddeld;nectarleverancier;1-25 kg/ha nectar;California bees and blooms (G.W.Frankie, R.W.Thorp, R.E.Coville, B.Ertter);shutterstock_28395631.jpg,shutterstock_51526345.jpg;
PL0165;Chaenomeles speciosa;;;Rosaceae;Heesters;;;;2,3,4,5,6;;;;;;;nectarleverancier;1-25 kg/ha nectar;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes);;Chaenomeles speciosa 'Kinshiden',Chaenomeles speciosa 'Nivalis'
PL0166;Chamerion angustifolium;;;Onagraceae;Vaste planten;;;;7,8,9;;;;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0167;Cheiranthus cheiri;Muurbloem;;;;geel,oranje;geeloranje;;4,5,6;;0,2-0,8 m;zon;zand,leem;;gemiddeld;pollenleverancier;>150 kg/ha;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0168;Chilopsis linearis;;;Bignoniaceae;;;;;;;;;;;;;151-200 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier);;
PL0169;Cichorium endivia;;;Asteraceae;vaste planten;;;;6,7,8,9,10;;;;;;;;;California bees and blooms (G.W.Frankie, R.W.Thorp, R.E.Coville, B.Ertter);;
PL0170;Cichorium intybus;Wilde cichorei;;Asteraceae;;blauw;;;7,8,9,10;;0,15-1 m;zon,halfschaduw;zand,leem;;gemiddeld;nectar- en pollenleverancier;26-50 kg/ha nectar en 1-25 kg/ha pollen;Plants for bees (W.D.J.Kirk, F.N.Howes);shutterstock_71399104.jpg;
PL0171;Cirsium arvense;Akkerdistel;;Asteraceae;;paars;paarslila;;6,7,8,9;;0,4-1 m;zon;klei,leem;kalk;gemiddeld;nectarleverancier;101-200 kg/ha nectar;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0172;Cirsium heterophyllum;;;Asteraceae;;;;;;;;;;;;nectarleverancier;101-200 kg/ha nectar;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0173;Cirsium oleraceum;Moesdistel;;Asteraceae;;geel,groen;geelgroen;;6,7,8,9;;0,6-1,5 m;zon,halfschaduw;leem;kalk;gemiddeld;;;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0174;Cirsium palustre;Kale jonker;;Asteraceae;;rood,paars;roodpaars;;6,7,8,9,10;;0,6-2m;zon,halfschaduw;;;droog;pollenleverancier;51-100 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes);shutterstock_55703953.jpg;
PL0175;Cirsium vulgare;Speerdistel;;Asteraceae;;paars;;;7,8;;0,4-1,2m;zon,halfschaduw;;;;;51-100kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0177;Clarkia amoena;;;Onagraceae;;;;;6,7,8,9,10;;;;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0178;Clarkia pulchella;;;Onagraceae;;;;;6,7,8,9,10;;;;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0179;Clarkia unguiculata;;;Onagraceae;;;;;6,7,8,9,10;;;;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes),California bees and blooms (G.W.Frankie, R.W.Thorp, R.E.Coville, B.Ertter);;
PL0180;Clematis alpina;Bosrank;;Ranunculaceae;Heesters;blauw,rood,roze,wit,paars;;;4,5;>200cm;tot 4 m;zon,halfschaduw;;neutraal;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;Clematis alpina 'Frances Rivis',Clematis alpina 'Willy'
PL0181;Clematis armandii;Bosrank;;Ranunculaceae;Heesters;wit;;;3,4;;300 cm;zon,halfschaduw;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;Clematis armandii 'Apple Blossom',Clematis armandii 'Snowdrift'
PL0182;Clematis aromatica;Bosrank;;Ranunculaceae;Heesters;paars,geel;paars & geel;;6,7,8,9;;250 cm;zon,halfschaduw;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0183;Clematis bonstedtii;Bosrank;;Ranunculaceae;Vaste planten;;;;;;;;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;Clematis bonstedtii 'CrÇpuscule'
PL0184;Clematis florida;Bosrank;;Ranunculaceae;Heesters;wit;;;;;;;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;Clematis florida 'Alba Plena',Clematis florida 'Bicolor',Clematis florida 'Sieboldii'
PL0185;Clematis heracleifolia;Bosrank;;Ranunculaceae;Heesters;blauw,paars;violetblauw;;8,9;101-200cm;70 - 100 cm;zon,halfschaduw;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;Clematis heracleifolia 'Cìte d'Azur'
PL0186;Clematis macropetala;Bosrank;;Ranunculaceae;Heesters;blauw,paars;violetblauw;;4,5;>200cm;2 tot 4 m;zon,halfschaduw;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;Clematis macropetala 'Maidwell Hall',Clematis macropetala 'Markham's Pink'
PL0187;Clematis montana;Bosrank;;Ranunculaceae;Heesters;wit,roze;;;5,6;>200cm;6 tot 10 m;zon,halfschaduw;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;Clematis montana 'Fragrant Spring',Clematis montana 'Grandiflora',Clematis montana 'Tetrarose',Clematis montana 'rubens'
PL0188;Clematis recta;Bosrank;;Ranunculaceae;Heesters;wit;;;6,7,80;;100 cm;zon,halfschaduw;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;Clematis recta 'Purpurea'
PL0189;Clematis tangutica;Bosrank;;Ranunculaceae;Heesters;geel;;;7,8,9;;450 cm;zon,halfschaduw;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0190;Clematis texensis;Bosrank;;Ranunculaceae;Heesters;roze;;;7,8,9;;400 cm;zon,halfschaduw;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;Clematis texensis 'Princess Diana'
PL0191;Clematis vitalba;Bosrank;;Ranunculaceae;Heesters;wit,geel;witgeel;;7,8,9,10;;700 cm;zon,halfschaduw;zand;;vochthoudend;pollenleverancier;51-100 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0192;Clematis viticella;Bosrank;;Ranunculaceae;Heesters;rood,paars,roze,blauw;;;7,8,9;;300 cm;zon,halfschaduw;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;Clematis viticella 'Alba Luxurians',Clematis viticella 'Etoile Violette',Clematis viticella 'Little Nell',Clematis viticella 'Madame Julia Correvon',Clematis viticella 'Purpurea Plena Elegans',Clematis viticella 'Royal Velours'
PL0193;Colchicum autumnale;;;Colchicaceae;Vaste planten;;;;8,9;;;;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0194;Collinsia heterophylla;;;Scrophulariaceae;;;;;;;;;;;;;;California bees and blooms (G.W.Frankie, R.W.Thorp, R.E.Coville, B.Ertter);;
PL0195;Colutea arborescens;Europese blazenstruik;;;;geel;;;6,7,8;;1,5-4,5 m;zon;;kalk;gemiddeld;nectar- en pollenleverancier;51-100 kg/ha nectar en 26-50 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier);;
PL0196;Consolida regalis;Ridderspoor;;Ranunculaceae;Vaste planten;blauw,roze,wit,paars;;;6,7;51-100cm;70 tot 100 cm;zon,halfschaduw;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0197;Convallaria majalis;Lelietje der dalen;;Asparagaceae;Vaste planten;wit;;;5;;15 cm;halfschaduw,schaduw;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;Convallaria majalis 'Rosea'
PL0198;Convolvulus arvensis;Akkerwinde;inheems;Convolvulaceae;Vaste planten;;;;6,7,8,9;;;;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0199;Coreopsis grandiflora;Meisjesogen;;Asteraceae;Vaste planten;;;;;;;;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes),California bees and blooms (G.W.Frankie, R.W.Thorp, R.E.Coville, B.Ertter);;Coreopsis grandiflora 'Early Sunrise'
PL0200;Coreopsis lanceolata;Meisjesogen;;Asteraceae;Vaste planten;geel;goudgeel;;7,8;;0,35-0,6 m;zon;zand;kalk;droog,gemiddeld;nectar- en pollenleverancier;> 500 kg/ha nectar en 26-50 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes),California bees and blooms (G.W.Frankie, R.W.Thorp, R.E.Coville, B.Ertter);;
PL0201;Coreopsis rosea;Meisjesogen;;Asteraceae;Vaste planten;roze,wit;;;6,7,8,9;;30-40cm;;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;Coreopsis rosea 'American Dream',Coreopsis rosea 'Sweet Dreams' (r)
PL0202;Coreopsis verticillata;Meisjesogen;;Asteraceae;vaste planten;geel;;;7,8,9;;50 cm;zon;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes),California bees and blooms (G.W.Frankie, R.W.Thorp, R.E.Coville, B.Ertter);;Coreopsis verticillata 'Moonbeam',Coreopsis verticillata 'Route 66',Coreopsis verticillata 'Zagreb'
PL0203;Coriandrum sativum;Koriander;;Apiaceae;Kruiden;wit;;;6,7,8;;0,15-0,4 m;zon;zand,leem;;droog;;;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier);shutterstock_77151856.jpg;
PL0204;Cornus alba;Kornoelje;;Cornaceae;Heesters;wit;;;5,6;;2 tot 4 m;zon,schaduw;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;Cornus alba 'Aurea',Cornus alba 'Elegantissima',Cornus alba 'Gouchaultii',Cornus alba 'Kesselringii',Cornus alba 'Sibirica',Cornus alba 'Sibirica Variegata'
PL0205;Cornus alternifolia;Kornoelje;;Cornaceae;Heesters;wit;;;5,6;;400 cm;zon,schaduw;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;Cornus alternifolia 'Argentea'
PL0206;Cornus controversa;Kornoelje;;Cornaceae;Heesters;wit;;;6,7;;350 cm;zon,schaduw;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;Cornus controversa 'Variegata'
PL0207;Cornus florida;Kornoelje;;Cornaceae;Heesters;wit,groen,geel;wit-groengeel;;5;;250 cm;zon,schaduw;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;Cornus florida 'Cherokee Chief',Cornus florida 'Daybreak',Cornus florida f. rubra,Cornus florida 'Red Giant',Cornus florida 'Royal Red',Cornus florida 'White Cloud'
PL0208;Cornus kousa;Kornoelje;;Cornaceae;Heesters;wit;;;5;;400 cm;zon,schaduw;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;Cornus kousa 'Beni-Fuji',Cornus kousa 'China Girl',Cornus kousa chinensis,Cornus kousa 'Grossblumig SpÑt',Cornus kousa 'Jupiter',Cornus kousa 'Milky Way',Cornus kousa 'Moonbeam',Cornus kousa 'National',Cornus kousa 'Nicole',Cornus kousa 'Norman Hadden',Cornus kousa 'Robert's Select',Cornus kousa 'Satomi',Cornus kousa 'Schmetterling',Cornus kousa 'Teutonia',Cornus kousa 'Weisse Fontaine',Cornus kousa 'White Giant',Cornus kousa 'Wieting's Select'
PL0209;Cornus mas;Kornoelje;;Cornaceae;Heesters;geel;;;2,3;;400 cm;zon,schaduw;zand,leem;neutraal;gemiddeld;nectar- en pollenleverancier;201-500 kg/ha nectar en 26-50 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes);shutterstock_11002624.jpg;Cornus mas 'Variegata'
PL0210;Cornus nuttallii;Kornoelje;;Cornaceae;Heesters;wit,geel;witgeel;;5,6;;;zon,schaduw;;neutraal;gemiddeld,vochthoudend;nectar- en pollenleverancier;26-50 kg/ha nectar en 51-100 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes);;Cornus nuttallii 'Monarch',Cornus nuttallii 'North Star',Cornus nuttallii 'Pink Blush'
PL0211;Cornus sanguinea;Rode kornoelje;;Cornaceae;;wit;roomwit;;5,6;;1-4 m;zon;zand;zuur;gemiddeld;nectar- en pollenleverancier;51-100 kg/ha nectar en 51-100 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes);shutterstock_69756205.jpg;Cornus sanguinea 'Winter Beauty'
PL0212;Cornus sericea;Kornoelje;;Cornaceae;Heesters;wit;;;5,6;;;zon,schaduw;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;Cornus sericea 'Flaviramea',Cornus sericea 'Kelseyi'
PL0213;Corydalis lutea;Gele helmbloem;;;;geel;;;5,6,7,8,9;;0,1-0,3 m;zon;;;droog;nectar- en pollenleverancier;51-100 kg/ha nectar en 51-100 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier);;
PL0214;Corydalis solida;Vingerhelmbloem;;;;paars,rood;paarsrood;;3,4;;0,1-0,2 m;zon;zand,veen;zuur;vochthoudend;nectar- en pollenleverancier;26-50 kg/ha nectar en 1-25 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier);;
PL0215;Corylus avellana;Hazelaar;;Betulaceae;Fruitbomen;geel,rood,groen;;;2,3,4;;10 m;zon;zand;kalk;gemiddeld;nectar- en pollenleverancier;1-25 kg/ha nectar en 51-100 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes);shutterstock_77992366.jpg;Corylus avellana 'Cosford',Corylus avellana cv. ?Contorta?,Corylus avellana 'Halle'sche Riesen',Corylus avellana 'Lange Spaanse',Corylus avellana 'Lombardii',Corylus avellana 'Merveille de Bollwiller',Corylus avellana 'Webb's Prize Cob'
PL0216;Corylus colurna;Boomhazelaar;;Betulaceae;Bomen;geel,bruin;geelbruin;;2,3;;12-30 m;zon;zand;;droog;nectar- en pollenleverancier;101-200 kg/ha nectar en 26-50 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier);;
PL0217;Cosmos bipinnatus;Cosmos;;Asteraceae;;wit,paars,rood;wit, purperrood;;7,8,9,10;;0,6-1,2 m;schaduw;leem,zand;;gemiddeld;pollenleverancier;26-50 kg/ha pollen;Plants for bees (W.D.J.Kirk, F.N.Howes),California bees and blooms (G.W.Frankie, R.W.Thorp, R.E.Coville, B.Ertter);shutterstock_50487634.jpg;
PL0218;Cosmos sulphureus;;;Asteraceae;;;;;;;;;;;;;;California bees and blooms (G.W.Frankie, R.W.Thorp, R.E.Coville, B.Ertter);;
PL0219;Cotoneaster adpressus;;;Rosaceae;Heesters;;;;5,6,7;;;;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0220;Cotoneaster dammeri;Dwergmispel;;Rosaceae;Heesters;wit;;;5,6;;15 cm;zon,schaduw;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;Cotoneaster dammeri 'Major'
PL0221;Cotoneaster franchetii;Dwergmispel;;Rosaceae;Heesters;roze;;;6,7;;200 cm;zon,schaduw;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0222;Cotoneaster horizontalis;Dwergmispel;;Rosaceae;Heesters;wit;;;4,5;;40 cm;zon,schaduw;;;vochthoudend;pollenleverancier;51-100kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes);shutterstock_38369260.jpg;
PL0223;Cotoneaster lacteus;Dwergmispel;;Rosaceae;Heesters;wit;roomwit;;6,7;;300 cm;zon,schaduw;;;;nectar- en pollenleverancier;51-100 kg/ha nectar en 26-50 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0224;Cotoneaster suecicus;Dwergmispel;;Rosaceae;Heesters;wit;;;5,6;;;;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;Cotoneaster suecicus 'Coral Beauty',Cotoneaster suecicus 'Juliette',Cotoneaster suecicus 'Skogholm'
PL0225;Crambe cordifolia;Zeekool;;Brassciaceae;Vaste planten;wit;;zeer grote balderen;5,6,7;;2 m;zon;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0226;Crambe maritima;Zeekool;;Brassciaceae;Vaste planten;wit;;;5,6,7;;70 cm;zon;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0227;Crataegus crus-galli;Meidoorn;;Rosaceae;Bomen;wit;;;5,6;;4,5 m;zon,halfschaduw;leem;neutraal;gemiddeld;nectar- en pollenleverancier;26-50 kg/ha nectar en 26-50 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0228;Crataegus laevigata;Meidoorn;;Rosaceae;Bomen;;;;;;;;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;Crataegus laevigata ?Masekii?,Crataegus laevigata ?Plena?,Crataegus laevigata ?Rubra plena?,Crataegus laevigata 'Crimson Cloud',Crataegus laevigata 'Paul's Scarlet',Crataegus laevigata 'Princess Sturdza',Crataegus laevigata subsp. laevigata
PL0229;Crataegus lavalleei;Meidoorn;;Rosaceae;Bomen;wit;roomwit;;5,6;;5-6 m;halfschaduw;leem;neutraal;gemiddeld;;;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0230;Crataegus monogyna;Meidoorn;;Rosaceae;Bomen;wit;;;5,6;;2-10 m;halfschaduw;leem;kalk;;;26-50 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes);shutterstock_30586195.jpg;Crataegus monogyna ?Pendula?
PL0231;Crataegus mordenensis;Meidoorn;;Rosaceae;Bomen;;;;;;;;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;Crataegus mordenensis 'Toba'
PL0232;Crataegus pinnatifida;Meidoorn;;Rosaceae;Bomen;wit;;;5;;8 m;halfschaduw;;kalk;gemiddeld;nectar- en pollenleverancier;1-25 kg/ha nectar en 26-50 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0233;Crataegus prunifolia;Meidoorn;;Rosaceae;Bomen;;;;;;;;;;;;;;;Crataegus prunifolia 'Splendens'
PL0234;Crepis capillaris;Klein streepzaad;;Asteraceae;;geel;;;6,7,8,9,10;;0,5 m;halfschaduw;;;vochthoudend;nectar- en pollenleverancier;26-50 kg/ha nectar en 26-50 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0235;Crocus vernus;Bonte crocus;;Iridaceae;;wit,paars;;;2,3,4;;0,1-0,25 m;;zand,leem;neutraal;gemiddeld;;26-50 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes);shutterstock_8864899.jpg;
PL0236;Cucumis melo;Meloen;;;;geel;;;6,7,8;;;halfschaduw;;neutraal;gemiddeld;nectarleverancier;51-100 kg/ha nectar;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier);;
PL0237;Cucumis sativus;Komkommer;;Cucurbitaceae;;geel;;;6,7,8;;;;;;;nectarleverancier;51-100 kg/ha nectar;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes);shutterstock_58147726.jpg;
PL0238;Cucurbita maxima;;;Cucurbitaceae;;;;;6,7,8;;;;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0239;Cucurbita pepo;;;Cucurbitaceae;;;;;6,7,8;;;;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0240;Cydonia oblonga;Kweepeer;;Rosaceae;;wit;roomwit;;5,6;;7 m;zon;;;vochthoudend;nectar- en pollenleverancier;51-100 kg/ha nectar en 51-100 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes);;Cydonia oblonga 'Champion',Cydonia oblonga 'Ekmek',Cydonia oblonga 'Leskovacz',Cydonia oblonga 'Portugal',Cydonia oblonga 'Vranja'
PL0241;Cynara cardunculus;Sierartisjok;;Asteraceae;Vaste planten;blauw;;;7,8,9;;175 cm;zon;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;Cynara cardunculus var. Cardunculus,Cynara cardunculus var. Scolymus
PL0242;Cynoglossum amabile;;;Boraginaceae;;;;;;;;;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0243;Cynoglossum officinale;;;Boraginaceae;;;;;;;;;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0244;Cytisus scoparius;;;Fabaceae;Heesters;;;;5,6;;;;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0245;Dactylis glomerata;;;Poaceae;Grassen;;;;4,5,6,7,8;;;;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0246;Dahlia variabilis;Mignondahlias;;Asteraceae;Vaste planten;geel;geel oranje rood;;8;;0,45-0,8 m;zon;;;gemiddeld;nectar- en pollenleverancier;101-200 kg/ha nectar en 101-150 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0247;Daphne laureola;;;Thymelaeaceae;;;;;2,3;;;;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0248;Daphne mezereum;;;Thymelaeaceae;;;;;2,3;;;;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0249;Daucus carota;Peen;;Apiaceae;;wit;roomwit;;6,7,8,9,10;;0,15-0,75 m;zon;zand,klei;;gemiddeld;nectar- en pollenleverancier;26-50 kg/ha nectar en 151-200 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier);shutterstock_13461214.jpg,shutterstock_80672881.jpg;
PL0250;Delphinium belladonna;Ridderspoor;;Ranunculaceae;Vaste planten;;;;;;;;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;Delphinium belladonna 'Casa Blanca',Delphinium belladonna 'Cliveden Beauty',Delphinium belladonna 'Moerheimii',Delphinium belladonna 'Piccolo',Delphinium belladonna 'Vîlkerfrieden'
PL0251;Delphinium elatum;Ridderspoor;;Ranunculaceae;Vaste planten;;;;;;;;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;Delphinium elatum 'Light Blue with White Bee'
PL0252;Delphinium grandiflorum;Ridderspoor;;Ranunculaceae;Vaste planten;;;;;;;;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;Delphinium grandiflorum 'Blauer Spiegel',Delphinium grandiflorum 'Summer Blues'
PL0253;Delphinium pacific;Ridderspoor;;Ranunculaceae;Vaste planten;;;;;;;;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;Delphinium pacific 'Astolat',Delphinium pacific 'Blue Bird',Delphinium pacific 'Galahad',Delphinium pacific 'King Arthur'
PL0254;Delphinium ruysii;Ridderspoor;;Ranunculaceae;Vaste planten;;;;;;;;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;Delphinium ruysii 'Pink Sensation'
PL0255;Dendromecon harfordii;;;;;;;;;;;;;;;;;California bees and blooms (G.W.Frankie, R.W.Thorp, R.E.Coville, B.Ertter);;
PL0256;Dianthus plumarius;Grasanjer;;;Vaste planten;roze,wit;;;7,8;;0,14-0,3 m;zon;zand,klei;;gemiddeld;;;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier);;Dianthus plumarius 'Cranmere Pool',Dianthus plumarius 'David',Dianthus plumarius 'Mrs Sinkins'
PL0257;Dictamnus albus;;;Rutaceae;vaste planten;;;;5,6,7;;;;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0258;Digitalis purpurea;Vingerhoedskruid;;Plantaginaceae;Vaste planten;roze;;;6,7;;150 cm;zon,halfschaduw;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes),California bees and blooms (G.W.Frankie, R.W.Thorp, R.E.Coville, B.Ertter);;
PL0259;Dipsacus fullonum;Grote kaardebol;;Dipsacaceae;;blauw,paars;lichtblauwpaars;;6,7,8,9;;0,8-2 m;zon;zand,leem;neutraal;gemiddeld;nectar- en pollenleverancier;26-50 kg/ha nectar;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes);shutterstock_35636944.jpg;
PL0260;Dipsacus laciniatus;;;Dipsacaceae;;;;;;;;;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0261;Dipsacus pilosus;Kleine kaardebol;;Dipsacaceae;;blauw,wit;blauwwit;;6,7,8;;0,7-1,5 m;zon;zand;kalk;gemiddeld;pollenleverancier;151-200 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0262;Dipsacus sativus;;;Dipsacaceae;;;;;;;;;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0263;Doronicum orientale;Voorjaarszonnebloem;;Asteraceae;;geel;;;5,6;;0,5 m;halfschaduw;leem;kalk;gemiddeld;;;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes);;Doronicum orientale 'Leonardo' (r)
